id;name;type;vLastAIS;vDistAIS;headAIS;headReal;speedAIS;speedReal;to;from;nat;mmsi;imo;status;lengthAIS;lengthReal;width;built;weight;temperature;wind;waveHeight;draught;inMaritimeRoad;inFishingZone;inCoastZone;nearOtherVessel;protectedZone;recIA;gt;expIA;expGT
0;ZHONG REN 121;Heavy Load Carrier;<1;<1;132,1;134,8;9,5;9,3;Bilbao, Spain;Vlissingen, Netherlands;CN;413336320;9922938;Under Way;172;169;49;2022;26,2;;;;7,4;1;0;0;0;0;neutre;neutre;;
1;VARKAN MARMARA;Chemical/Oil Products Tanker;<1;<1;128,5;128,9;10,9;10,7;Bilbao, Spain;Dunkerque, France;TR;271002685;9458145;Under Way;100;91;16;2009;3,5;;;;6,1;1;0;0;0;0;neutre;neutre;les données AIS et captées sont cohérentes entre elles et avec les images;
2;MSC HELENA III;Container Ship;<1;<1;131,7;129,5;16,3;15,4;Bilbao, Spain;Antwerpen, Belgium;PA;351917000;9219393;Under Way;220;223;32;2003;35,8;;;;9,7;1;0;0;0;0;neutre;neutre;;
3;LAUDACE;Ro-Ro Cargo;>5;>2;233;234,8;19;17,3;Vigo, Spain;Montoir, France;ES;224876000;9187318;Under Way;142;156;21;1999;15,2;;;;6;0;0;0;0;0;suspect;neutre;la vitesse mesurée et la vitesse déclarée ne semblent pas cohérentes ainsi que la taille mesurée et la taille déclarée;
4;CIDADE DE ALBUFEIRA;Fishing;<1;<1;331,1;331,2;1,1;0,9;;Burela, Spain;PT;263407950;8748050;Fishing;28;31;7;2001;0,2;;;;;0;1;0;0;0;neutre;neutre;;
5;GAS AEGEAN;LPG Tanker;<1;<1;275,9;275,1;17,9;17,2;Arzew, Algeria;Aviles, Spain;LR;636015415;9545209;Under Way;120;113;20;2012;9,1;;;;5,3;0;1;0;0;0;suspect;neutre;le navire passe dans une zone de pèche avec une vitesse élevée, il y a donc un risque de collision avec un navire de pèche;il ne semble pas y avoir de navire de pèche proche
6;FLEX RANGER;LNG Tanker;<1;<1;84,3;85,5;16,9;17,5;FOR ORDERS;Plymouth, United Kingdom;MH;538007621;9709025;Under Way;293;301;46;2018;115,2;;;;11,2;1;0;0;0;0;suspect;suspect;son cap n'indique pas qu'il arrive de Plymouth, United Kingdom;
7;ENDEAVOUR;General Cargo;<1;<1;359,1;5,1;0;0,2;Ribadeo, Spain;Terneuzen, Netherlands;BB;314636000;9171072;Moored;88;83;13;1997;2,4;;;;3,3;0;0;1;1;0;neutre;neutre;;
8;EEMS STREAM;General Cargo;<1;<1;242,5;243,6;8,1;8,4;Oran, Algeria;Les Sables-d'Olonne, France;NL;245926000;9559638;Under Way;99;94;11;2010;2,1;;;;4,7;0;1;0;0;0;neutre;neutre;;
9;ONEGO OTRA;General Cargo;<1;<1;256,1;255,4;11,8;11,6;Vila do Conde, Brazil;Rotterdam, Netherlands;AG;305656000;9535606;Under Way;146;151;19;2010;8,1;;;;7,2;1;0;0;0;0;neutre;neutre;;
10;SALVINIA;Bulk Carrier;<1;<1;358,6;359,1;11,4;11,3;Cork, Ireland;Ceuta Anch., Spain;LR;636023319;9524815;Under Way;140;153;25;2009;11,7;;;;7,6;1;0;0;0;0;neutre;suspect;;le nom sur l'image ne correspond pas au déclaré
11;MSC LYON;Container Ship;<1;<1;29,5;29,7;18,1;17,9;Tilbury, United Kingdom;Las Palmas, Spain;LR;636024507;9975569;Under Way;272;279;43;2024;74,9;;;;13,7;1;0;0;0;0;neutre;neutre;;
12;GEM NO.1;Crude Oil Tanker;<1;<1;29,3;28,3;12,3;11,8;Hound Point, United Kingdom (UK);NINGBOO, CHINA;PA;356593000;9735361;Under Way;330;347;60;2016;156,8;;;;20,4;1;0;0;1;0;suspect;suspect;le navire est proche d'un autre navire dans une route maritime à une vitesse mesurée de 11,8kn;
13;SOLITAIRE;Pipe Layer;<1;<1;208,5;208,7;12,4;12,3;Las Palmas Anch., Spain;Rotterdam, Netherlands;MT;249118000;7129049;Under Way;398;379;40;1972;94,9;;;;14,6;1;0;0;0;0;suspect;neutre;l'analyse d'image ne permet pas de reconnaitre le type de navire;
14;AMONITH;Chemical/Oil Products Tanker;<1;<1;27,6;28;10;10,1;Antwerpen, Belgium;Aveiro, Portugal;CY;210745000;9164093;Under Way;92;89;15;1999;3,2;;;;5,7;1;0;0;0;0;neutre;neutre;;
15;SVYATAYA VARVARA;General Cargo;<1;<1;26,3;26,3;5,2;5,4;St Petersburg, Russia;Alexandria, Egypt;RU;273411440;9143609;Under Way;96;90;13;1996;2,9;;;;3,4;1;0;0;0;0;suspect;suspect; la vitesse est trop faible pour un navire de type Cargo situé dans dans une route maritime;
16;EURICA;General Cargo;<1;<1;226,3;225,2;9,6;9,1;Grangemouth, United Kingdom;Port-la-Nouvelle, France;LV;275497000;9232486;Under Way;80;74;10;2000;1,4;;;;3,1;1;0;0;0;0;neutre;neutre;;
17;TONY STARK;General Cargo;<1;<1;204,1;202,8;12,4;12,2;Taranto, Italy;Esbjerg, Denmark;AG;304427000;9046423;Under Way;146;138;26;1993;11,1;;;;6;1;0;0;0;0;neutre;neutre;;
18;SEA SPIRIT;Passenger ;<1;<1;26,3;25,2;8,4;8,8;Portsmouth, United Kingdom;Vigo, Spain;PT;255806397;8802868;Under Way;91;87;16;1991;4,2;;;;4,3;1;0;0;0;0;neutre;neutre;;
19;HMS PROTECTOR;Research;<1;<1;233,3;234;8,1;8,3;Praia, Cape Verde;Hound Point, United Kingdom;GB;235086758;9233997;Under Way;89;94;18;2001;5,1;;;;7,5;1;0;0;0;0;neutre;neutre;;
20;VUOKSI MAERSK;Container;<1;<1;22,1;22,6;14,1;14,5;Rotterdam, Netherlands;Port Said East, Egypt;DK;219133000;9775775;Under Way;200;211;36;2018;34,9;;;;11,7;1;0;0;0;0;neutre;neutre;les données AIS et captées sont cohérentes entre elles et avec les images;
21;HOUSTON STAR;Crude Oil Tanker;<1;<1;25,3;28;11,9;12,4;Primorsk, Russia;As Suways (Suez) Anch., Egypt;GW;630001163;9319882;Under Way;249;253;44;2007;62,2;;;;8;1;0;0;0;0;suspect;neutre;l'image du navire semble indiquer que c'est un General Cargo et non pas un Crude Oil Tanker;
22;HUANGHAI PIONEER;General Cargo;<1;<1;358,3;0,3;10,8;11,2;Saint Petersburg, Russia ;Shanghai, China;LR;636093256;9458420;Under Way;166;178;27;2012;20,7;;;;9,3;0;0;0;0;0;suspect;suspect;le navire devrait se situer dans une route maritime pour rejoindre Saint Petersburg, Russia depuis Shanghai, China;
23;JANE;Chemical/Oil Product;<1;<1;216,1;216;10,5;10,8;Santos, Brazil;Skagen Anch., Denmark;PT;255915916;9364588;Under Way;183;191;32;2008;29,7;;;;11;1;0;0;0;0;neutre;neutre;;
24;F/V CARMINCHIN;Fishing;>5;<2;89,9;89,7;8,3;8,7;;Burela, Spain;FR;228082700;9840908;Under Way;20;23;7;2016;2,3;;;;4,5;1;0;0;0;0;neutre;neutre;les données AIS et captées sont cohérentes entre elles et avec les images, il semble se rediriger vers Burela, Spain après avoir péché;
25;PLANCIUS;Passenger (Cruise);<1;<1;37,9;36,5;10,4;10,2;Vlissingen, Netherlands;Montevideo, Uruguay;NL;246573000;7432044;Under Way;90;98;14;1976;3,4;;;;5,2;0;0;0;0;0;neutre;neutre;;
26;VILLASELAN;Fishing;<1;<1;228,2;229,3;5,1;4,8;;Burela, Spain;ES;224067130;8911401;Under Way;27;24;6;1989;0,2;;;;;0;0;0;0;0;suspect;neutre;pour un navire de pèche, il est loin des côtes et des autres navires détéctés;
27;SEAWAYS RIO GRANDE;Crude Oil Tanker;<1;<1;298,3;299,1;12,5;12,3;Point Tupper, Canada;Wilhelmshaven, Germany;MH;538004028;9593438;Under Way;274;267;48;2012;81,3;;;;13,9;1;0;0;0;0;neutre;neutre;;
28;LOULOULIGHT;Oil Products;<1;<1;210,3;211,2;13,3;13,8;Mailiao, Taiwan;Vysotsk, Russia;MH;538011353;9594901;Under Way;228;214;32;2013;42,4;;;;12,2;1;0;0;0;0;neutre;neutre;;
29;PRINCIMAR GRACE;Crude Oil Tanker;<1;<1;91,1;91,5;12,9;12,3;Wilhelmshaven, Germany;Ingleside, United States;BS;311000437;9578634;Under Way;274;273;48;2011;81,5;;;;16;1;0;0;0;0;neutre;neutre;;
