id;name;type;vLastAIS;vDistAIS;headAIS;headReal;speedAIS;speedReal;to;from;nat;mmsi;imo;status;lengthAIS;lengthReal;width;built;weight;temperature;wind;waveHeight;draught;inMaritimeRoad;inFishingZone;inCoastZone;nearOtherVessel;protectedZone;recIA;gt;expIA;expGT
0;ABEILLE BOURBON;Tug;<1;<1;248,1;247,3;15,4;15,6;Brest, France;Brest, France;FR;226263000;9308687;Under Way;80;82;17;2005;3,2;;;;6;0;0;1;0;0;neutre;neutre;;
1;SEOUL SPIRIT;Crude Oil Tanker;<1;<1;29,3;30;12,6;13,1;Antwerpen, Belgium;As Suways (Suez) Anch., Egypt;PA;352004649;9248409;Under Way;274;281;48;2005;83,6;;;;9;1;0;0;0;0;neutre;neutre;;
2;PEN GWYN;Pleasure;<1;<1;79,2;78,9;5,9;5,7;Paimpol, France;;FR;227842010;;;10;11;4;;;;;;;0;0;1;0;0;neutre;neutre;;
3;;;;;;313,5;;6,1;;;;;;;;9;;;;;;;;0;0;1;0;0;neutre;neutre;;
4;BLUE WAVE;Fishing;<1;<1;215,3;216,8;8,8;8,3;Guilvinec, France;Loctudy, France;FR;;;Fishing;;25;;;;;;;4,2;0;1;1;1;0;suspect;suspect;un navire de pèche doit fournir son MMSI et sa taille dans l'AIS;
5;MAB FANCH;Fishing;<1;<1;253,9;254,1;3,3;3,2;Fishing Grounds;;FR;228219000;;Fishing;15;18;5;;;;;;;0;1;1;1;0;neutre;neutre;;
6;YARA NAUMA;LPG Tanker;<1;<1;109,3;111,5;13,2;13;Ambes, France;Port Arthur Anch., United States;NO;258933000;9734848;Under Way;160;173;26;2016;18,4;;;;8,2;0;0;0;0;0;suspect;suspect;son nom est présent dans la liste des suspects ;
7;ADDICTIF SOLOSAILOR;Sailing;<1;<1;324,3;325,5;4,3;4,6;;Lorient, France;FR;228054600;;;12;15;18;;;;;;;0;0;1;0;0;neutre;neutre;;
8;NANOPLON;SAR;>5;>2;301,3;302,1;11,5;6,1;;Les Sables-d'Olonne, France;FR;228408800;;Fishing;30;35;12;;;;;;2,8;0;0;0;0;0;suspect;neutre;l'écart entre la vitesse mesurée et la vitesse déclarée est important. Il se déclare en train de pécher avec une vitesse déclarée de 11,5kn, ce qui est trop élevé;
9;PROTEUS INGRID;Crude Oil Tanker;<1;<1;284,3;283,5;11,9;12,4;Freeport, Bahamas;Montoir, France;SG;563191500;9923463;Under Way;250;273;44;2023;67;;;;17,1;0;0;0;0;0;suspect;neutre;le Draught est important pour un Crude Oil Tanker pour le poids, la taille et la vitesse indiqués;
10;ALBELO PRIMERO;Fishing;<1;<1;294,1;295,8;1,3;1,4;CALADERO;Celeiro, Spain;ES;225360000;;Fishing;32;35;8;;;;;;;0;1;0;1;0;neutre;neutre;;
11;SIEMPRE REVUELTA;Fishing;<1;<1;49,3;51,2;1,5;1,6;Burela, Spain;Burela, Spain;ES;224936000;;Fishing;34;39;8;;;;;;;0;1;0;1;0;neutre;neutre;;
12;ADVIENTO UNO;Pleasure;<1;<1;102,4;97,5;1;0,5;;Burela, Spain;ES;224175430;9368431;Under Way;30;40;8;2005;;;;;10;0;1;0;1;0;suspect;suspect;l'analyse de l'image semble indiquer que c'est un navire de pèche et non pas un navire de plaisance. L'écart entre la longueur indiquée et la longueur mesurée est important;
